"lg" "pos1" "pos2" "utr3"
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
5 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "5737872" "5738028" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
