study	sample	group	pop	ecotype	pop_alias	data_source	pooled	accession_number	barcode	seq_type	latitude	longitude
catchen	cs_1877.07	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.08	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.09	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	ms_2067.01	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.02	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.03	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.04	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.05	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.06	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.08	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.09	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.10	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.11	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.12	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.13	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.14	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.15	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.16	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.17	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.18	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.21	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.22	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.23	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.24	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.25	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.26	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.28	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.30	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.31	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
catchen	ms_2067.32	1b	millport_slough	marine	ms	SRA	no	SRA070979		RAD	44.531468	-123.59262
