pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
boot stream geneva lake allo D -2.94437441041852 -1.15270701764855 -0.503019706608892 -5.44960277668244 0.104340892054294 1.74249097913785 0.985599567057523 -0.167770408435815 allo_D
boot stream geneva stream allo S -2.10569556044864 -0.671254682242867 -0.864274403443256 -8.78059351422615 -0.0215258456254464 1.81998913266183 1.94282606849614 -0.187578596928374 allo_S
boot stream joes lake allo D -5.50938175717581 0.0502850566717352 0.23707472453011 1.48716558256235 -0.188515605695306 0.0680494955568862 -0.640529590250862 0.159494472178688 allo_D
boot stream joes stream allo S -6.30078878612298 0.0126767240513676 0.197620647959429 0.902535405512218 -0.0698206810857748 0.199794414170899 -0.443446419840608 0.0491494856273345 allo_S
boot stream ln marine allo D -3.64422272104404 -0.148716135014891 0.109907682026688 -1.11079052733059 0.0213880891771034 0.439314394919369 -0.0741194315416397 -0.224828877818752 allo_D
boot stream mh marine allo D -5.008482160034 0.233532703049467 0.241662591490175 2.49744183415162 -0.07463172643116 -0.294538512927053 -0.196514435445594 -0.123864638011 allo_D
boot stream mh white allo D -5.18283160747243 0.395183484895385 0.287409795445089 3.28392614761504 -0.152953016448856 -0.691968484896135 -0.314564995548806 -0.0396171447464783 allo_D
boot stream misty lake allo D -5.65796341852316 -0.0484658285587804 0.325591487525863 2.66964349859599 0.0196900230756623 0.421615963951801 -0.531480458492777 -0.370686389972994 allo_D
boot stream misty stream allo S -5.63804043098964 0.259828532131585 0.336881080446594 3.58624502938787 -0.151766641196344 -0.858956174142277 -0.716940811743526 0.162313388585308 allo_S
boot stream roberts lake allo D -4.01736866144853 -0.374146403506951 -0.058411738719529 0.941731199097417 0.0311804043875451 -0.377022272450982 -0.210667994878165 0.0690045061449087 allo_D
boot stream roberts stream allo S -3.34648456454837 -0.907460218003488 -0.412628456584253 -0.994146538994224 0.117665344136253 1.19411939109376 1.07286308925855 -0.459910859337879 allo_S
boot stream sk marine allo D -5.3760708006838 0.253230294477504 0.321103803546323 4.24814593479225 -0.0530873653688752 -0.757509449480104 -0.708575801295841 -0.0241749010828463 allo_D
boot stream sr marine allo D -5.21178414254895 0.262442390391046 0.239131939235784 5.33653310813874 -0.0438328961673267 -1.06161133476896 -0.567628961329377 -0.0469843530063158 allo_D
boot stream sr white allo D -5.02015724544525 0.219819993622723 0.208111885353668 2.47759371953811 -0.0789120700214084 -0.584550864315575 -0.200315648638346 0.0645182325341835 allo_D
cl marine cl white para D -5.40290126435884 -0.0647625319420473 -0.317780268853418 -0.93227736255837 0.030092509397938 0.179238953577594 0.874807490586381 -0.0936663555000714 para_D
cl marine cp marine allo S -6.52310076764871 -0.219714819290234 -0.138816821122579 4.01455967673069 0.0152668684129168 0.243004543909886 -0.255818096224511 0.018108318822248 allo_S
cl marine ln marine allo S -4.7891408786001 0.0732239219619277 0.246128106253416 -1.9590536794746 -0.124845780547547 -0.777958195431272 -0.823909136919282 0.373169408951569 allo_S
cl marine mh marine allo S -5.29059476532832 -0.186662211303341 0.209313489129436 -3.89338363392089 -0.00204813177718767 0.415145145879295 -0.532397824874952 0.0538993519237173 allo_S
cl marine mh white allo D -6.26940263876309 0.271996208855254 0.145762055287797 1.98424245633238 -0.0871628178900497 -0.667341079954115 -0.396027551986158 0.21952616405143 allo_D
cl marine sk marine allo S -9.7851697082175 0.638136036344121 0.878328497844779 7.43711941980509 -0.18268728854286 -1.31131916679744 -2.16472531635638 0.43517810063411 allo_S
cl marine sr marine allo S -5.86494015838717 -0.0940281752839372 0.120719513510242 0.43191746323835 0.00364945973507953 0.331873012435946 -0.626133843975616 0.000311570478862804 allo_S
cl marine sr white allo D -4.70776037744568 0.322808156592168 0.212264498781436 -0.55487876334499 -0.267942941000831 -1.38936835229086 -0.873653853286258 0.584441967770994 allo_D
cl white cp marine allo D -6.06391253681625 -0.28001702144231 -0.0870181864441056 -0.675908405817664 0.0403329968002682 0.706451109547277 0.549019966389954 -0.136916342172671 allo_D
cl white ln marine allo D -7.98522637068729 0.396702273870224 0.244031589487517 5.19948123898553 -0.0454713573060337 -0.916095755597544 -0.311523120346708 0.0690915667761837 allo_D
cl white mh marine allo D -7.76247022448359 0.545843001869936 0.39120626416762 2.91295990499223 -0.0489027145745525 -1.67891947014126 -0.445728221948108 -0.142689624860366 allo_D
cl white mh white allo S -5.5676177610829 0.038893375038933 -0.645741067115528 0.161023463337757 0.0347165081917179 0.0404553839831251 0.904437537262058 -0.0978628771267034 allo_S
cl white sk marine allo D -7.34941474131177 0.232197237650766 0.166369031698968 3.83787455442873 -0.0124657700422303 -0.319343784824768 -0.193394588851268 -0.0095932363740751 allo_D
cl white sr marine allo D -8.84916950300141 0.110751882410894 0.400196316520251 3.22576680315298 -0.0808319362745363 0.22733660223834 -0.264487267255982 0.0686885581295165 allo_D
