pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
cs marine japan japansea allo D -3.26171993242863 -0.652506373254742 -0.152706723970607 -0.606862384728137 allo_D
cs marine japan marine allo S -3.3899378063486 -0.364761190101106 -0.0460958022348812 0.141036727711507 allo_S
cs marine joes lake allo D -1.34752135477227 -1.4298167429297 0.0615500647380231 -2.27146029034208 allo_D
cs marine joes stream allo D -4.55383109062425 -0.222618866106446 -0.089189823832787 0.79037146632237 allo_D
cs marine litcampbell marine allo S -3.25761920892611 -0.0529248661671644 -0.2566332651144 -1.15370246140018 allo_S
cs marine ln marine allo S -3.76800441123352 -0.0413825651017553 -0.0217428526071486 -0.859601639843247 allo_S
cs marine mariager marine allo S -4.69041808823017 -0.000373454086817997 -0.0920249372263032 0.563194662065551 allo_S
cs marine mh marine allo S -6.35081799573899 0.0093193724735181 0.0029152905101725 1.09950360785566 allo_S
cs marine mh white allo D -6.8417517898295 -0.000919580330308041 0.049526987126464 1.47053062454647 allo_D
cs marine misty lake allo D -3.93178250336619 -1.06701247168686 0.027332518992675 0.746727832814175 allo_D
cs marine misty stream allo D -3.87304713530335 -1.14557748165154 0.025781192215578 0.748881884703391 allo_D
cs marine ms marine allo S -5.32249682316486 -0.189452420966616 0.00677336809215917 0.491831940622288 allo_S
cs marine mud lake allo D -4.63734637674534 -0.0274860697579281 -0.097748427561523 0.725337801455247 allo_D
cs marine pcr lake allo D -3.17855573968364 -0.855774742293839 -0.118465356787691 0.451314739742783 allo_D
cs marine pl lake allo D -3.16591614272585 -0.701292575036061 -0.225982851086204 0.0586344606590747 allo_D
cs marine rab marine allo S -4.34271787962667 0.0391588529799072 -0.0201272084191041 -0.360716625942181 allo_S
cs marine rb stream allo D -3.13153786984079 -0.805190473417542 0.00846353020358106 -0.641403751734593 allo_D
cs marine res marine allo S -4.34260539634344 0.0482394955081314 -0.320307733780496 0.717484081149465 allo_S
cs marine roberts lake allo D -3.46597771370719 -0.341346421828981 -0.021411502310484 -0.276317578288497 allo_D
cs marine roberts stream allo D -3.43583915144511 -0.777419157328519 -0.00284820403538735 0.0274369981113053 allo_D
cs marine sj marine para S -5.43669272720168 0.0105600312687468 0.0258511587101444 -0.364259697657629 para_S
cs marine sk marine allo S -5.08502264521873 0.00385870182850487 -0.00660010000051528 0.267616378370976 allo_S
cs marine sr marine allo S -5.31588393262981 -0.0495582975780297 -0.0708649095463 1.01109669348197 allo_S
cs marine sr white allo D -2.73569783206661 -0.151847284141164 -0.0815147459775969 -1.36109428070493 allo_D
cs marine stl lake allo D -3.1912776454819 -0.689518626884324 -0.183647071793681 0.135137837892508 allo_D
cs marine wc stream allo D -2.23066838963586 -0.861402893597679 -0.200316941403466 -0.981130017749327 allo_D
denmark marine al marine allo S -3.45256437514384 -0.0544069619298337 0.0470141807119979 -1.39199854669792 allo_S
denmark marine boot lake allo D -5.08120086292521 -0.0838009029736006 -0.0356143045759327 0.991836725452772 allo_D
denmark marine boot stream allo D -5.0356053930009 0.0324443877670372 -0.0748962745417174 0.537818115384494 allo_D
