lg_bp_group,benlim_lq,benlim_paxton,benlim_priest,catchen_group1,catchen_group2,catchen_group3,fer_group1,hohenlohe_group1,hohenlohe_group2,japan_group1,roesti_boot,roesti_constance,roesti_geneva,roesti_joes,roesti_misty,roesti_roberts,russian_Ershov,russian_NilMash,whtcmn_CL,whtcmn_MH,whtcmn_SR,overalltrue.x,overallfalse.x,overalltotal,overallprop,bltrue.x,blfalse.x,bltotal,blprop,mltrue.x,mlfalse.x,mltrue2.x,mlfalse2.x,mltotal,mlprop,sltrue.x,slfalse.x,sltotal,slprop,wctrue.x,wcfalse.x,wctotal,wcprop,parallel_allpops_sig,parallel_benlim_sig,parallel_streamlake_sig,parallel_marinefresh_sig,parallel_whitecomm_sig
1_46,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,11,15,0.266666667,2,1,3,0.666666667,1,3,0,2,6,0.166666667,0,2,2,0,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
1_47,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,15,17,0.117647059,0,3,3,0,1,5,0,2,8,0.125,0,2,2,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,4,14,18,0.222222222,2,1,3,0.666666667,1,5,0,2,8,0.125,0,3,3,0,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
1_49,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,9,0.333333333,2,1,3,0.666666667,0,0,0,2,2,0,0,0,0,NA,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
1_50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,14,21,0.333333333,1,2,3,0.333333333,2,4,0,2,8,0.25,3,3,6,0.5,0,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
1_51,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,13,19,0.315789474,2,1,3,0.666666667,2,4,0,2,8,0.25,1,3,4,0.25,0,3,3,0,TRUE,TRUE,FALSE,FALSE,FALSE
1_52,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,6,9,15,0.4,2,1,3,0.666666667,2,2,0,2,6,0.333333333,1,2,3,0.333333333,0,2,2,0,TRUE,TRUE,FALSE,FALSE,FALSE
1_53,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,18,0.388888889,3,0,3,1,1,5,1,1,8,0.25,1,2,3,0.333333333,0,3,3,0,TRUE,TRUE,FALSE,FALSE,FALSE
1_54,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,14,20,0.3,2,1,3,0.666666667,3,3,0,2,8,0.375,1,4,5,0.2,0,3,3,0,TRUE,TRUE,FALSE,TRUE,FALSE
1_55,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6,11,17,0.352941176,2,1,3,0.666666667,1,4,1,1,7,0.285714286,1,2,3,0.333333333,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
